,temperature_text,color_code,url_suffix,temperature,coordinates_str
0,"51.3 °C (124.3 °F)
",#770000,/wiki/Ouargla,51.3,"('31°57′N', '5°19′E')"
1,"44.0 °C (111.2 °F)
",#DC0000,"/wiki/Maun,_Botswana",44.0,"('19°59′S', '023°25′E')"
2,"47.2 °C (117.0 °F)
",#B00000,"/wiki/Dori,_Burkina_Faso",47.2,"('14°02′N', '0°02′W')"
3,"48.0 °C (118.4 °F)
",#A50000,/wiki/Faya-Largeau,48.0,"('17°55′01″N', '19°7′0″E')"
4,"36.0 °C (96.8 °F)
",#FF2500,/wiki/Prince_Said_Ibrahim_International_Airport,36.0,"('11°32′12″S', '43°16′17″E')"
5,"51.0 °C (123.8 °F)
",#7C0000,/wiki/Aswan,51.0,"('24°05′20″N', '32°53′59″E')"
6,"47.4 °C (117.3 °F)
",#AD0000,/wiki/Lavumisa,47.4,"('27°19′S', '31°54′E')"
7,"49.0 °C (120.2 °F)
",#970000,/w/index.php?title=Jenoi&action=edit&redlink=1,49.0,"(None, None)"
8,"43.8 °C (110.8 °F)
",#DF0000,/wiki/Navrongo,43.8,"('10°53′5″N', '1°5′25″W')"
9,"45.0 °C (113.0 °F)
",#CE0000,/wiki/Koundara,45.0,"('12°29′N', '13°18′W')"
10,"40.1 °C (104.2 °F)
",#FF0900,/w/index.php?title=Ebini&action=edit&redlink=1,40.1,"(None, None)"
11,"43.6 °C (110.5 °F)
",#E20000,/wiki/Ejeda,43.6,"('24°21′S', '44°31′E')"
12,"50.4 °C (122.7 °F)
",#840000,/wiki/Agadir,50.4,"('30°25′17″N', '9°34′59″W')"
13,"49.5 °C (121.1 °F)
",#900000,/wiki/Diffa,49.5,"('13°18′53″N', '12°37′4″E')"
14,"46.4 °C (115.5 °F)
",#BB0000,"/wiki/Yola,_Nigeria",46.4,"('9°14′N', '12°28′E')"
15,"36.9 °C (98.4 °F)
",#FF1F00,"/wiki/Le_Port,_R%C3%A9union",36.9,"('20°56′22″S', '55°17′14″E')"
16,"50.0 °C (122.0 °F)
",#890000,"/w/index.php?title=Dunbrody,_Eastern_Cape&action=edit&redlink=1",50.0,"(None, None)"
17,"49.7 °C (121.5 °F)
",#8D0000,/wiki/Dongola,49.7,"('19°10′11.37″N', '30°28′29.62″E')"
18,"55 °C (131 °F)
",#440000,/wiki/Kebili,55.0,"('33°42′18″N', '08°57′54″E')"
19,"50.7 °C (123.3 °F)
",#800000,/wiki/Semara,50.7,"('26°44′22″N', '11°40′13″W')"
20,"42.4 °C (108.3 °F)
",#F20000,/wiki/Mfuwe,42.4,"('12°53′50″S', '31°55′40″E')"
21,"19.8 °C (67.6 °F)
",#FF952C,/wiki/Signy_Research_Station,19.8,"('60°42′30″S', '45°35′42″W')"
22,"37.0 °C (98.6 °F)
",#FF1F00,"/wiki/Sukhumi,_Abkhazia",37.0,"('43°00′N', '41°01′E')"
23,"49.9 °C (121.8 °F)
",#8B0000,"/wiki/Farah,_Afghanistan",49.9,"('32°20′37″N', '62°7′10″E')"
24,"45.1 °C (113.2 °F)
",#CD0000,/wiki/Rajshahi,45.1,"('24°22′N', '88°36′E')"
25,"40.0 °C (104.0 °F)
",#FF0A00,/wiki/Phuentsholing,40.0,"('26°51′N', '89°23′E')"
26,"42.6 °C (108.7 °F)
",#EF0000,/wiki/Preah_Vihear_Province,42.6,"('13°47′N', '104°58′E')"
27,"52.2 °C (126.0 °F)
",#6B0000,"/w/index.php?title=Sanbao_Township,_Xinjiang&action=edit&redlink=1",52.2,"(None, None)"
28,"41.5 °C (106.7 °F)
",#FF0000,/wiki/Sheung_Shui,41.5,"('22°30′37″N', '114°07′35″E')"
29,"51.0 °C (123.8 °F)
",#7C0000,/wiki/Phalodi,51.0,"('27°07′52″N', '72°21′50″E')"
30,"40.6 °C (105.1 °F)
",#FF0600,/wiki/Banjarbaru,40.6,"('03°26′33″S', '114°49′57″E')"
31,"54.0 °C (129.2 °F)
",#520000,/wiki/Ahvaz,54.0,"('31°18′17″N', '48°40′42″E')"
32,"53.9 °C (129.0 °F)
",#540000,/wiki/Basra,53.9,"('30°30′54″N', '47°48′36″E')"
33,"54.0 °C (129.2 °F)
",#520000,/wiki/Tirat_Zvi,54.0,"('32°25′18″N', '35°31′28″E')"
34,"41.1 °C (106.0 °F)
",#FF0200,"/wiki/Kumagaya,_Saitama",41.1,"('36°8′50.6″N', '139°23′19.1″E')"
35,"50.0 °C (122.0 °F)
",#890000,,50.0,"(None, None)"
36,"49.1 °C (120.4 °F)
",#960000,/wiki/Turkistan_(city),49.1,"('43°18′07″N', '68°16′09″E')"
37,"53.9 °C (129.0 °F)
",#540000,/wiki/Mitribah,53.9,"('29°49′N', '47°22′E')"
38,"43.6 °C (110.5 °F)
",#E20000,/wiki/Jangy-Jer,43.6,"('40°07′30″N', '70°53′50″E')"
39,"43.5 °C (110.3 °F)
",#E30000,/wiki/Luang_Prabang,43.5,"('19°53′24″N', '102°08′05″E')"
40,"
44.3 °C (111.7 °F)

",#D80000,/w/index.php?title=Houche_Al_Oumara&action=edit&redlink=1,44.3,"(None, None)"
41,"39.0 °C (102.2 °F)
",#FF1100,/wiki/Coloane,39.0,"('22°07′34″N', '113°34′01″E')"
42,"40.1 °C (104.2 °F)
",#FF0900,/wiki/Chuping,40.1,"('6°29′54″N', '100°15′28″E')"
43,"34.9 °C (94.8 °F)
",#FF2D00,/wiki/Hanimaadhoo_(Haa_Dhaalu_Atoll),34.9,"('06°45′57″N', '73°10′33″E')"
44,"44.0 °C (111.2 °F)
",#DC0000,"/wiki/Khongor,_Darkhan-Uul",44.0,"('49°18′26″N', '105°56′11″E')"
45,"47.2 °C (117.0 °F)
",#B00000,/wiki/Myinmu,47.2,"('21°56′N', '95°35′E')"
46,"46.4 °C (115.5 °F)
",#BB0000,/wiki/Dhangadhi,46.4,"('28°42′49″N', '80°34′09″E')"
47,"51.6 °C (124.9 °F)
",#730000,"/w/index.php?title=Joba,_Oman&action=edit&redlink=1",51.6,"(None, None)"
48,"53.7 °C (128.7 °F)
",#560000,/wiki/Mohenjo-daro,53.7,"('27°19′45″N', '68°08′20″E')"
49,"42.2 °C (108.0 °F)
",#F50000,/wiki/Tuguegarao,42.2,"('17°36′48″N', '121°43′49″E')"
50,"50.4 °C (122.7 °F)
",#840000,/wiki/Doha,50.4,"('25°17′12″N', '51°32′0″E')"
51,"52.0 °C (125.6 °F)
",#6E0000,/wiki/Jeddah,52.0,"('21°32′36″N', '39°10′22″E')"
52,"37.0 °C (98.6 °F)
",#FF1F00,"/wiki/Tengah,_Singapore",37.0,"(None, None)"
53,"41.0 °C (105.8 °F)
",#FF0300,/wiki/Hongcheon,41.0,"('37°41′33″N', '127°52′48″E')"
54,"39.8 °C (103.6 °F)
",#FF0B00,/wiki/Trincomalee,39.8,"('8°34′N', '81°14′E')"
55,"49.4 °C (120.9 °F)
",#920000,/wiki/Al-Hasakah,49.4,"('36°30′42″N', '40°44′32″E')"
56,"41.6 °C (106.9 °F)
",#FD0000,/wiki/Fuyuan_National_Forest_Recreation_Area,41.6,"('23°35′09.3″N', '121°22′06.7″E')"
57,"48.0 °C (118.4 °F)
",#A50000,/wiki/Panji_Poyon,48.0,"('37°11′43″N', '68°34′43″E')"
58,"45.4 °C (113.7 °F)
",#C90000,"/wiki/Tak,_Thailand",45.4,"('16°52′16″N', '99°07′30″E')"
59,"49.5 °C (121.1 °F)
",#900000,/wiki/Sar%C4%B1cakaya,49.5,"('40°02′N', '30°31′E')"
60,"50.1 °C (122.2 °F)
",#880000,/wiki/Repetek_Biosphere_State_Reserve,50.1,"('38°36′22″N', '63°12′50″E')"
61,"52.1 °C (125.8 °F)
",#6C0000,/w/index.php?title=Al_Jazeera_Border_Gate&action=edit&redlink=1,52.1,"(None, None)"
62,"44.2 °C (111.6 °F)
",#D90000,/wiki/T%C6%B0%C6%A1ng_D%C6%B0%C6%A1ng_District,44.2,"('19°40′01″N', '104°40′01″E')"
63,"34.0 °C (93.2 °F)
",#FF3300,/wiki/RAF_Akrotiri,34.0,"('34°35′25″N', '32°59′16″E')"
64,"44.0 °C (111.2 °F)
",#DC0000,/wiki/Ku%C3%A7ov%C3%AB,44.0,"(None, None)"
65,"39.4 °C (102.9 °F)
",#FF0E00,/w/index.php?title=Borda_Vidal&action=edit&redlink=1,39.4,"(None, None)"
66,"43.7 °C (110.7 °F)
",#E00000,/wiki/Meghri,43.7,"('38°54′12″N', '46°14′45″E')"
67,"40.5 °C (104.9 °F)
",#FF0600,/wiki/Bad_Deutsch-Altenburg,40.5,"('48°8′N', '16°54′E')"
68,"46.0 °C (114.8 °F)
",#C00000,"/wiki/Julfa,_Azerbaijan_(city)",46.0,"('38°57′21″N', '45°37′51″E')"
69,"38.9 °C (102.0 °F)
",#FF1100,/wiki/Gomel,38.9,"('52°26′43″N', '30°59′03″E')"
70,"41.8 °C (107.2 °F)
",#FA0000,/wiki/Begijnendijk,41.8,"('51°01′N', '04°47′E')"
71,"46.2 °C (115.2 °F)
",#BE0000,/wiki/Mostar,46.2,"('43°20′37″N', '17°48′27″E')"
72,"45.2 °C (113.4 °F)
",#CB0000,/wiki/Sadovo,45.2,"('42°07′59″N', '24°55′59″E')"
73,"42.8 °C (109.0 °F)
",#ED0000,/wiki/Plo%C4%8De,42.8,"('43°03′N', '17°26′E')"
74,"46.2 °C (115.2 °F)
",#BE0000,/wiki/Nicosia,46.2,"('35°10′21″N', '33°21′54″E')"
75,"40.4 °C (104.7 °F)
",#FF0700,/wiki/Dob%C5%99ichovice,40.4,"('49°55′39″N', '14°16′38″E')"
76,"36.4 °C (97.5 °F)
",#FF2300,/wiki/Holstebro,36.4,"(None, None)"
77,"35.6 °C (96.1 °F)
",#FF2800,/wiki/V%C3%B5ru,35.6,"('57°50′55″N', '26°59′34″E')"
78,"37.2 °C (99.0 °F)
",#FF1D00,/wiki/Joensuu_Airport,37.2,"('62°39′32″N', '029°37′28″E')"
79,"46.0 °C (114.8 °F)
",#C00000,/wiki/V%C3%A9rargues,46.0,"('43°43′02″N', '4°06′01″E')"
80,"41.2 °C (106.2 °F)
",#FF0200,/wiki/Duisburg,41.2,"('51°26′05″N', '6°45′45″E')"
81,"48.0 °C (118.4 °F)
",#A50000,/wiki/Elefsina,48.0,"('38°2′N', '23°32′E')"
82,"41.9 °C (107.4 °F)
",#F90000,/wiki/Kiskunhalas,41.9,"('46°25′55″N', '19°29′18″E')"
83,"30.5 °C (86.9 °F)
",#FF4B00,/wiki/Dj%C3%BApivogur,30.5,"('64°39′N', '14°17′W')"
84,"33.3 °C (91.9 °F)
",#FF3800,/wiki/Kilkenny_Castle,33.3,"('52°39′01″N', '07°14′57″W')"
85,"48.8 °C (119.8 °F)
",#9A0000,/wiki/Floridia,48.8,"('37°05′N', '15°09′E')"
86,"37.8 °C (100.0 °F)
",#FF1900,/wiki/Ventspils,37.8,"('57°23′26″N', '21°34′24″E')"
87,"37.4 °C (99.3 °F)
",#FF1C00,/wiki/Ruggell,37.4,"('47°14′36″N', '9°31′48″E')"
88,"37.5 °C (99.5 °F)
",#FF1B00,/wiki/Zarasai,37.5,"('55°44′0″N', '26°15′0″E')"
89,"40.8 °C (105.4 °F)
",#FF0400,/wiki/Steinsel,40.8,"('49°40′35″N', '6°07′25″E')"
90,"43.8 °C (110.8 °F)
",#DF0000,/wiki/Malta_International_Airport,43.8,"('35°51′27″N', '014°28′39″E')"
91,"42.4 °C (108.3 °F)
",#F20000,/wiki/F%C4%83le%C8%99ti,42.4,"('47°34′20″N', '27°42′50″E')"
92,"35.1 °C (95.2 °F)
",#FF2C00,/wiki/Monaco,35.1,"('43°43′52″N', '07°25′12″E')"
93,"44.8 °C (112.6 °F)
",#D10000,/wiki/Podgorica,44.8,"('42°26′29″N', '19°15′46″E')"
94,"40.7 °C (105.3 °F)
",#FF0500,/wiki/Gilze_en_Rijen,40.7,"('51°35′N', '4°55′E')"
